Year,quarter,citymarketid_1,citymarketid_2,city1,city2,nsmiles,passengers,fare,carrier_lg,large_ms,fare_lg,carrier_low,lf_ms,fare_low,TotalFaredPax_city1,TotalPerLFMkts_city1,TotalPerPrem_city1,TotalFaredPax_city2,TotalPerLFMkts_city2,TotalPerPrem_city2
2025,2,32575,33192,"Los Angeles, CA (Metropolitan Area)","Sacramento, CA",404,5164,182.86,WN,0.8642,185.3,AA,0.021,171.4,2822942.0,0.86508,-0.03806,2447750.0,0.9584,-0.0727
2025,2,32211,31703,"Las Vegas, NV","New York City, NY (Metropolitan Area)",2282,5109,322.16,UA,0.3099,354.76,B6,0.2096,337.66,7899270.0,0.9837,-0.1219,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,31453,31703,"Houston, TX","New York City, NY (Metropolitan Area)",1465,4974,250.19,UA,0.527,287.11,NK,0.1126,118.04,3078355.0,0.8194,0.01925,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,30397,32467,"Atlanta, GA (Metropolitan Area)","Miami, FL (Metropolitan Area)",594,4964,175.86,DL,0.5644,216.02,NK,0.1776,93.68,7640240.0,0.8692,0.127,4322090.0,0.8859,-0.0658
2025,2,30977,31454,"Chicago, IL","Orlando, FL",1005,4781,190.94,WN,0.3358,191.66,NK,0.1088,103.27,5402975.0,0.77515,-0.00784999999999999,8664260.0,0.9797,-0.1155
2025,2,30977,30194,"Chicago, IL","Dallas/Fort Worth, TX",802,4743,201.58,AA,0.3884,235.92,WN,0.3265,169.83,5402975.0,0.77515,-0.00784999999999999,4521920.0,0.8224,0.03865
2025,2,30721,32467,"Boston, MA (Metropolitan Area)","Miami, FL (Metropolitan Area)",1283,4712,198.17,B6,0.3904,192.32,NK,0.1331,113.39,2777003.33333333,0.892133333333333,-0.0236333333333333,4322090.0,0.8859,-0.0658
2025,2,30721,30977,"Boston, MA (Metropolitan Area)","Chicago, IL",867,4640,195.34,UA,0.3257,205.62,WN,0.1673,170.89,2777003.33333333,0.892133333333333,-0.0236333333333333,5402975.0,0.77515,-0.00784999999999999
2025,2,30977,32467,"Chicago, IL","Miami, FL (Metropolitan Area)",1197,4596,211.94,AA,0.3385,248.19,NK,0.2205,117.28,5402975.0,0.77515,-0.00784999999999999,4322090.0,0.8859,-0.0658
2025,2,30977,32457,"Chicago, IL","San Francisco, CA (Metropolitan Area)",1855,4555,270.96,UA,0.5441,298.77,AA,0.2084,236.42,5402975.0,0.77515,-0.00784999999999999,3284783.33333333,0.880833333333333,-0.0514666666666666
2025,2,30194,30852,"Dallas/Fort Worth, TX","Washington, DC (Metropolitan Area)",1217,4421,235.98,AA,0.4357,282.41,WN,0.3376,205.18,4521920.0,0.8224,0.03865,3435623.33333333,0.6599,0.0452
2025,2,31453,32575,"Houston, TX","Los Angeles, CA (Metropolitan Area)",1390,4391,212.12,UA,0.4013,264.5,NK,0.1131,106.36,3078355.0,0.8194,0.01925,2822942.0,0.86508,-0.03806
2025,2,30325,31703,"Denver, CO","New York City, NY (Metropolitan Area)",1659,4300,279.95,UA,0.4839,312.9,WN,0.1145,234.82,7993970.0,0.9393,-0.0355,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,31057,31703,"Charlotte, NC","New York City, NY (Metropolitan Area)",575,4254,192.73,AA,0.5173,211.68,DL,0.1818,209.6,3473830.0,0.7408,0.1441,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,32575,34057,"Los Angeles, CA (Metropolitan Area)","Portland, OR",859,4147,178.42,AS,0.6685,185.0,DL,0.1578,178.5,2822942.0,0.86508,-0.03806,3036620.0,0.713,-0.087
2025,2,30397,30977,"Atlanta, GA (Metropolitan Area)","Chicago, IL",606,4084,195.14,DL,0.3591,240.41,F9,0.135,103.1,7640240.0,0.8692,0.127,5402975.0,0.77515,-0.00784999999999999
2025,2,30721,32575,"Boston, MA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",2611,4059,353.85,B6,0.3378,333.45,UA,0.171,312.63,2777003.33333333,0.892133333333333,-0.0236333333333333,2822942.0,0.86508,-0.03806
2025,2,30721,32457,"Boston, MA (Metropolitan Area)","San Francisco, CA (Metropolitan Area)",2704,4025,362.52,UA,0.3106,402.4,DL,0.2013,350.59,2777003.33333333,0.892133333333333,-0.0236333333333333,3284783.33333333,0.880833333333333,-0.0514666666666666
2025,2,32457,30852,"San Francisco, CA (Metropolitan Area)","Washington, DC (Metropolitan Area)",2457,4016,367.01,UA,0.58,416.73,WN,0.1281,278.5,3284783.33333333,0.880833333333333,-0.0514666666666666,3435623.33333333,0.6599,0.0452
2025,2,32575,32467,"Los Angeles, CA (Metropolitan Area)","Miami, FL (Metropolitan Area)",2343,3927,349.21,AA,0.4301,373.16,B6,0.2892,353.2,2822942.0,0.86508,-0.03806,4322090.0,0.8859,-0.0658
2025,2,30977,30466,"Chicago, IL","Phoenix, AZ",1444,3906,227.58,WN,0.3531,203.26,WN,0.3531,203.26,5402975.0,0.77515,-0.00784999999999999,3472715.0,0.9637,-0.301199999999999
2025,2,30977,30325,"Chicago, IL","Denver, CO",895,3884,187.86,UA,0.407,232.37,WN,0.3804,156.99,5402975.0,0.77515,-0.00784999999999999,7993970.0,0.9393,-0.0355
2025,2,30466,32457,"Phoenix, AZ","San Francisco, CA (Metropolitan Area)",651,3856,171.73,WN,0.5725,172.98,WN,0.5725,172.98,3472715.0,0.9637,-0.301199999999999,3284783.33333333,0.880833333333333,-0.0514666666666666
2025,2,30977,32211,"Chicago, IL","Las Vegas, NV",1521,3778,218.16,WN,0.3657,201.96,NK,0.1037,110.74,5402975.0,0.77515,-0.00784999999999999,7899270.0,0.9837,-0.1219
2025,2,30397,32575,"Atlanta, GA (Metropolitan Area)","Los Angeles, CA (Metropolitan Area)",1947,3744,316.54,DL,0.5407,420.46,NK,0.1605,112.56,7640240.0,0.8692,0.127,2822942.0,0.86508,-0.03806
2025,2,31703,34492,"New York City, NY (Metropolitan Area)","Raleigh/Durham, NC",459,3722,165.01,DL,0.3081,195.69,B6,0.1336,134.2,2978413.33333333,0.821149999999999,-0.0328666666666666,2821020.0,0.9081,-0.0502
2025,2,31454,34100,"Orlando, FL","Philadelphia, PA",861,3720,179.83,AA,0.453,242.82,NK,0.1482,106.08,8664260.0,0.9797,-0.1155,4375880.0,0.8143,0.0707
2025,2,30693,31703,"Nashville, TN","New York City, NY (Metropolitan Area)",803,3649,201.31,UA,0.2493,206.5,WN,0.2095,180.0,3820000.0,0.9487,0.0199,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,30397,30194,"Atlanta, GA (Metropolitan Area)","Dallas/Fort Worth, TX",731,3586,218.66,DL,0.3655,263.57,WN,0.1827,176.08,7640240.0,0.8692,0.127,4521920.0,0.8224,0.03865
2025,2,31703,30466,"New York City, NY (Metropolitan Area)","Phoenix, AZ",2189,3540,323.42,AA,0.3992,323.93,AA,0.3992,323.93,2978413.33333333,0.821149999999999,-0.0328666666666666,3472715.0,0.9637,-0.301199999999999
2025,2,30325,32457,"Denver, CO","San Francisco, CA (Metropolitan Area)",967,3465,224.04,UA,0.4899,252.39,WN,0.4104,208.67,7993970.0,0.9393,-0.0355,3284783.33333333,0.880833333333333,-0.0514666666666666
2025,2,30194,31454,"Dallas/Fort Worth, TX","Orlando, FL",985,3432,211.21,AA,0.4451,265.58,NK,0.1294,102.6,4521920.0,0.8224,0.03865,8664260.0,0.9797,-0.1155
2025,2,30721,31703,"Boston, MA (Metropolitan Area)","New York City, NY (Metropolitan Area)",209,3428,228.97,DL,0.4647,260.81,B6,0.188,175.66,2777003.33333333,0.892133333333333,-0.0236333333333333,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,30325,30852,"Denver, CO","Washington, DC (Metropolitan Area)",1491,3424,254.81,UA,0.4914,296.98,F9,0.1376,144.6,7993970.0,0.9393,-0.0355,3435623.33333333,0.6599,0.0452
2025,2,31703,30559,"New York City, NY (Metropolitan Area)","Seattle, WA",2448,3368,341.55,AS,0.4423,333.94,UA,0.1676,332.87,2978413.33333333,0.821149999999999,-0.0328666666666666,6438890.0,0.5614,-0.0635
2025,2,30977,31453,"Chicago, IL","Houston, TX",945,3353,210.08,UA,0.4135,262.68,NK,0.1064,109.35,5402975.0,0.77515,-0.00784999999999999,3078355.0,0.8194,0.01925
2025,2,30194,30325,"Dallas/Fort Worth, TX","Denver, CO",651,3352,179.68,WN,0.3718,164.32,F9,0.1095,104.18,4521920.0,0.8224,0.03865,7993970.0,0.9393,-0.0355
2025,2,31453,30852,"Houston, TX","Washington, DC (Metropolitan Area)",1246,3304,246.95,UA,0.4847,292.24,NK,0.1136,115.96,3078355.0,0.8194,0.01925,3435623.33333333,0.6599,0.0452
2025,2,31295,31703,"Detroit, MI","New York City, NY (Metropolitan Area)",540,3278,209.58,DL,0.5899,248.21,NK,0.1795,105.14,3881350.0,0.8558,0.0756,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,32575,34614,"Los Angeles, CA (Metropolitan Area)","Salt Lake City, UT",590,3239,208.43,DL,0.6577,235.7,WN,0.1982,165.62,2822942.0,0.86508,-0.03806,3103480.0,0.908,0.1249
2025,2,30325,30466,"Denver, CO","Phoenix, AZ",602,3236,166.98,WN,0.4917,169.47,F9,0.165,98.02,7993970.0,0.9393,-0.0355,3472715.0,0.9637,-0.301199999999999
2025,2,30194,32211,"Dallas/Fort Worth, TX","Las Vegas, NV",1067,3229,209.89,AA,0.4151,276.46,NK,0.1452,104.69,4521920.0,0.8224,0.03865,7899270.0,0.9837,-0.1219
2025,2,30194,32457,"Dallas/Fort Worth, TX","San Francisco, CA (Metropolitan Area)",1476,3212,239.08,AA,0.5222,270.02,WN,0.2398,207.81,4521920.0,0.8224,0.03865,3284783.33333333,0.880833333333333,-0.0514666666666666
2025,2,30466,30559,"Phoenix, AZ","Seattle, WA",1107,3183,194.12,AS,0.4454,204.6,WN,0.1342,180.7,3472715.0,0.9637,-0.301199999999999,6438890.0,0.5614,-0.0635
2025,2,31714,31703,"Fort Myers, FL","New York City, NY (Metropolitan Area)",1102,3149,220.83,B6,0.3946,197.54,B6,0.3946,197.54,2049560.0,0.9005,-0.0265,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,30194,32467,"Dallas/Fort Worth, TX","Miami, FL (Metropolitan Area)",1121,3135,229.35,AA,0.5791,283.1,NK,0.232,110.77,4521920.0,0.8224,0.03865,4322090.0,0.8859,-0.0658
2025,2,32575,31454,"Los Angeles, CA (Metropolitan Area)","Orlando, FL",2218,3122,274.42,DL,0.3713,320.47,F9,0.11,131.93,2822942.0,0.86508,-0.03806,8664260.0,0.9797,-0.1155
2025,2,32467,34100,"Miami, FL (Metropolitan Area)","Philadelphia, PA",1013,3083,204.83,AA,0.5348,279.05,F9,0.2222,109.48,4322090.0,0.8859,-0.0658,4375880.0,0.8143,0.0707
2025,2,33195,30852,"Tampa, FL (Metropolitan Area)","Washington, DC (Metropolitan Area)",842,3077,200.74,WN,0.3868,206.13,F9,0.1231,110.28,1609760.0,0.989733333333333,-0.445166666666666,3435623.33333333,0.6599,0.0452
2025,2,30397,30721,"Atlanta, GA (Metropolitan Area)","Boston, MA (Metropolitan Area)",952,3037,248.67,DL,0.6183,294.57,B6,0.2146,184.86,7640240.0,0.8692,0.127,2777003.33333333,0.892133333333333,-0.0236333333333333
2025,2,30423,31703,"Austin, TX","New York City, NY (Metropolitan Area)",1559,3020,302.46,DL,0.3225,352.6,AA,0.2144,283.85,3612430.0,0.8982,0.0672,2978413.33333333,0.821149999999999,-0.0328666666666666
2025,2,32211,30559,"Las Vegas, NV","Seattle, WA",867,2995,180.8,AS,0.4622,196.94,WN,0.1322,163.2,7899270.0,0.9837,-0.1219,6438890.0,0.5614,-0.0635
2025,2,31703,33570,"New York City, NY (Metropolitan Area)","San Diego, CA",2481,2948,336.49,DL,0.2749,360.44,AS,0.211,298.71,2978413.33333333,0.821149999999999,-0.0328666666666666,4512730.0,0.8522,-0.0698
