carrier,carrier_name
3M,"Silver Airways"
AA,"American Airlines"
AS,"Alaska Airlines"
B6,"JetBlue Airways"
DL,"Delta Air Lines"
F9,"Frontier Airlines"
G4,"Allegiant Air"
HA,"Hawaiian Airlines"
MX,"Breeze Airways"
NK,"Spirit Airlines"
SY,"Sun Country Airlines"
UA,"United Airlines"
WN,"Southwest Airlines"
XP,"Avelo Airlines"
